2026-09-11 16:56:43 | INFO    | PipelineLogger.write | Platform.......: /p:Platform=AnyCPU
2026-09-11 16:56:51 | INFO    | PipelineLogger.write | 
2026-09-11 16:56:51 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:56:52 | INFO    | PipelineLogger.write | PIPELINE RUNNER - STEP RESULT
2026-09-11 16:56:52 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:56:52 | INFO    | PipelineLogger.write | Step............: Build
2026-09-11 16:56:52 | INFO    | PipelineLogger.write | Status..........: StepStatus.SUCCESS
2026-09-11 16:56:52 | INFO    | PipelineLogger.write | Analysis........: <class 'app.models.build.build_execution.BuildExecution'>
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | Warnings........: 0
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | Errors..........: 0
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | 
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | BUILD EXECUTION
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | Warnings........: 0
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | Errors..........: 0
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | BUILD ARMAZENADO EM PipelineResult
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | 
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | EXECUTANDO STEP: Publish
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | STEP CLASS.....: PublishStep
2026-09-11 16:56:53 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:04 | INFO    | PipelineLogger.write | 
2026-09-11 16:57:05 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:05 | INFO    | PipelineLogger.write | PIPELINE RUNNER - STEP RESULT
2026-09-11 16:57:06 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:06 | INFO    | PipelineLogger.write | Step............: Publish
2026-09-11 16:57:06 | INFO    | PipelineLogger.write | Status..........: StepStatus.SUCCESS
2026-09-11 16:57:07 | INFO    | PipelineLogger.write | Analysis........: <class 'NoneType'>
2026-09-11 16:57:07 | INFO    | PipelineLogger.write | 
2026-09-11 16:57:07 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:07 | INFO    | PipelineLogger.write | PIPELINE RESULT
2026-09-11 16:57:07 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:07 | INFO    | PipelineLogger.write | Success.........: True
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Failed Step.....: 
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Elapsed.........: 31.549454
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Build Warnings..: 0
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Build Errors....: 0
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Publish.........: None
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Steps executadas: 3
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | SALVANDO EXECUÇÃO
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | EXECUÇÃO SALVA
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | 
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | PIPELINE RUNNER - FINAL
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | PipelineResult...: <class 'app.models.pipeline.pipeline_result.PipelineResult'>
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Build............: <class 'app.models.build.build_execution.BuildExecution'>
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Publish..........: <class 'NoneType'>
2026-09-11 16:57:08 | INFO    | PipelineLogger.write | Steps............: 3
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | WORKSPACE RESOLVER DIAGNOSTICO - PARAMETROS RECEBIDOS
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | project_id.............: 'Whatsapp'
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | environment_id.........: 'production'
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | version................: '1.0.0'
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | revision...............: 0
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | WORKSPACE RESOLVER DIAGNOSTICO - AMBIENTE
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | environment.resolver...: 'production'
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | environment.root_path..: WindowsPath('C:/DvpLocal/WorkSpaceTFS/OuroNet/Scc/Producao/OuroNet')
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | workspace_root..........: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | project_file............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.Whatsapp\OuroNet.Client.WinService.Whatsapp.csproj
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - PUBLISH DE ORIGEM
2026-09-11 16:57:09 | INFO    | PipelineLogger.write | Projeto...............: Whatsapp
2026-09-11 16:57:10 | INFO    | PipelineLogger.write | Ambiente..............: production
2026-09-11 16:57:10 | INFO    | PipelineLogger.write | Versao................: 1.0.0
2026-09-11 16:57:11 | INFO    | PipelineLogger.write | Revisao................: 0
2026-09-11 16:57:11 | INFO    | PipelineLogger.write | PublishPath............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.Whatsapp\bin\Release
2026-09-11 16:57:11 | INFO    | PipelineLogger.write | PublishPath existe.....: True
2026-09-11 16:57:11 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:11 | INFO    | PipelineLogger.write | ORIGEM - ANTES DA COPIA
2026-09-11 16:57:11 | INFO    | PipelineLogger.write | Diretorio.............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.Whatsapp\bin\Release
2026-09-11 16:57:12 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-11 16:57:12 | INFO    | PipelineLogger.write | Arquivos..............: 724
2026-09-11 16:57:13 | INFO    | PipelineLogger.write | Diretorios............: 75
2026-09-11 16:57:13 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:28 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - WORKSPACE APOS COPIA
2026-09-11 16:57:28 | INFO    | PipelineLogger.write | Workspace.............: C:\Setups\.work\Whatsapp
2026-09-11 16:57:28 | INFO    | PipelineLogger.write | Workspace Release.....: C:\Setups\.work\Whatsapp\Release
2026-09-11 16:57:28 | INFO    | PipelineLogger.write | Release existe........: True
2026-09-11 16:57:29 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:29 | INFO    | PipelineLogger.write | WORKSPACE - APOS COPIA E ANTES DO CLEANUP
2026-09-11 16:57:30 | INFO    | PipelineLogger.write | Diretorio.............: C:\Setups\.work\Whatsapp\Release
2026-09-11 16:57:30 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-11 16:57:30 | INFO    | PipelineLogger.write | Arquivos..............: 724
2026-09-11 16:57:30 | INFO    | PipelineLogger.write | Diretorios............: 75
2026-09-11 16:57:31 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:33 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - CLEANUP
2026-09-11 16:57:34 | INFO    | PipelineLogger.write | Arquivos analisados.....: 724
2026-09-11 16:57:34 | INFO    | PipelineLogger.write | Arquivos removidos......: 658
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Arquivos preservados....: 66
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Diretorios analisados...: 75
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Diretorios removidos....: 72
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Diretorios preservados..: 3
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | CLEANUP RESULTADO
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Arquivos removidos......: 658
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Arquivos preservados....: 66
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Diretorios removidos....: 72
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Diretorios preservados..: 3
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | WORKSPACE - APOS CLEANUP
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Diretorio.............: C:\Setups\.work\Whatsapp\Release
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Arquivos..............: 66
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | Diretorios............: 3
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - SOURCEPATH DO AIP ATUALIZADO
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | AIP...................: C:\Setups\.work\Whatsapp\AIP\OuroNet.WinServiceWhatsapp.Setup.aip
2026-09-11 16:57:35 | INFO    | PipelineLogger.write | SourcePath...........: C:\Setups\.work\Whatsapp\Release
